Locus,haplotype,2n_ind_GBS-SE_001.bam,2n_ind_GBS-SE_002.bam,2n_ind_GBS-SE_003.bam,2n_ind_GBS-SE_004.bam,2n_ind_GBS-SE_005.bam,2n_ind_GBS-SE_006.bam,2n_ind_GBS-SE_007.bam,2n_ind_GBS-SE_008.bam
Chrom_1:15618-15711_+,.....0100001,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00
Chrom_1:15618-15711_+,...000000...,0.00,0.00,0.00,0.00,0.18,0.48,0.00,0.00
Chrom_1:15618-15711_+,...000000000,0.00,0.00,0.00,0.00,0.00,0.00,3.05,0.98
Chrom_1:15618-15711_+,...000010000,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chrom_1:15618-15711_+,...001010110,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00
Chrom_1:15618-15711_+,...010000000,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.98
Chrom_1:15618-15711_+,.010000.....,0.00,0.00,0.00,0.93,0.00,0.00,2.44,1.96
Chrom_1:15618-15711_+,.01000000000,41.87,0.00,0.00,0.00,0.00,1.43,91.46,3.92
Chrom_1:15618-15711_+,.01000000010,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chrom_1:15618-15711_+,.01000100000,0.22,46.39,0.00,0.00,0.00,0.00,1.22,0.00
Chrom_1:15618-15711_+,.010010.....,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00
Chrom_1:15618-15711_+,.01001000000,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chrom_1:15618-15711_+,.01001010110,0.00,0.00,0.00,81.48,0.00,0.00,0.00,0.00
Chrom_1:15618-15711_+,.010100.....,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98
Chrom_1:15618-15711_+,.0101000000.,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00
Chrom_1:15618-15711_+,.01010000000,0.00,0.00,0.00,0.00,48.95,0.48,0.61,84.31
Chrom_1:15618-15711_+,.01100000000,0.00,0.00,45.68,0.00,0.00,0.00,0.00,0.00
Chrom_1:15618-15711_+,.01110000000,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00
Chrom_1:15618-15711_+,0000000.....,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chrom_1:15618-15711_+,00000000....,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00
Chrom_1:15618-15711_+,000000000...,55.23,49.48,53.50,15.74,48.95,95.24,1.22,6.86
Chrom_1:15618-15711_+,0000000000..,0.00,1.03,0.00,0.00,0.18,0.00,0.00,0.00
Chrom_1:15618-15711_+,000000010...,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chrom_1:15618-15711_+,000000100...,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chrom_1:15618-15711_+,000001000...,0.00,0.00,0.00,0.00,0.18,0.48,0.00,0.00
Chrom_1:15618-15711_+,000010000...,0.00,1.03,0.00,0.00,0.00,1.43,0.00,0.00
Chrom_1:15618-15711_+,000011000...,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00
Chrom_1:15618-15711_+,000100000...,0.89,0.00,0.00,0.00,0.18,0.00,0.00,0.00
Chrom_1:15618-15711_+,010000000...,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00
Chrom_1:15618-15711_+,010010000...,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chrom_1:15618-15711_+,100000000...,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00

"Chrom_1:15713-15798\_\-",..000000,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00
"Chrom_1:15713-15798\_\-",.0000000,0.22,0.00,0.00,0.00,0.15,0.48,0.00,0.00
"Chrom_1:15713-15798\_\-",.1111010,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00
"Chrom_1:15713-15798\_\-",0000....,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00
"Chrom_1:15713-15798\_\-",00000000,61.88,63.77,51.54,26.37,52.75,94.23,1.48,5.15
"Chrom_1:15713-15798\_\-",00000001,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00
"Chrom_1:15713-15798\_\-",00000100,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00
"Chrom_1:15713-15798\_\-",00001...,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03
"Chrom_1:15713-15798\_\-",000010..,0.00,0.00,0.00,3.30,0.00,0.00,0.00,3.09
"Chrom_1:15713-15798\_\-",00001000,0.00,0.00,0.77,0.00,0.31,0.00,0.00,0.00
"Chrom_1:15713-15798\_\-",00010000,0.00,0.00,0.00,0.00,0.31,0.96,0.00,0.00
"Chrom_1:15713-15798\_\-",00100000,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00
"Chrom_1:15713-15798\_\-",001010..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03
"Chrom_1:15713-15798\_\-",0100....,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00
"Chrom_1:15713-15798\_\-",01000000,0.00,0.00,0.00,0.00,0.15,0.48,0.00,0.00
"Chrom_1:15713-15798\_\-",010010..,0.00,0.00,0.00,68.13,0.00,0.00,0.00,0.00
"Chrom_1:15713-15798\_\-",011.....,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03
"Chrom_1:15713-15798\_\-",0111....,0.00,0.00,0.38,0.00,0.15,0.00,0.00,0.00
"Chrom_1:15713-15798\_\-",01110010,0.22,0.00,0.38,0.00,0.31,0.00,0.00,0.00
"Chrom_1:15713-15798\_\-",011110..,0.00,0.00,0.38,0.00,0.31,0.00,0.74,2.06
"Chrom_1:15713-15798\_\-",01111000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03
"Chrom_1:15713-15798\_\-",01111010,37.44,36.23,45.77,0.00,45.26,2.88,96.30,85.57
"Chrom_1:15713-15798\_\-",01111110,0.22,0.00,0.00,0.00,0.00,0.00,0.74,0.00
"Chrom_1:15713-15798\_\-",11111010,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.00
